trial,condition,receiver,window_index,window_start_s,frame_count,valid_temporal_pairs,temporal_pair_retention,sequence_gap_count,largest_sequence_gap,usable,spectral_velocity_mean,spectral_velocity_p95,temporal_spread,baseline_distance,rssi_mean,rssi_std,rssi_shift
empty_01,empty,RX01,10,10.0,47,44,0.9565217391304348,2,2,True,0.13927365334458539,0.3812811170575126,0.2143521470527614,0.0069409057727983815,-48.95744680851064,0.2886097865159689,1.042553191489361
empty_01,empty,RX01,11,11.0,46,43,0.9555555555555556,2,2,True,0.13018247053673096,0.3799220032474447,0.2329939024739848,0.005892013787318311,-49.369565217391305,0.48268702850379386,0.6304347826086953
empty_01,empty,RX01,12,12.0,50,49,1.0,0,1,True,0.13482912871202843,0.379909022578761,0.2331967861385838,0.005851165677420421,-49.44,0.4963869458396343,0.5600000000000023
empty_01,empty,RX01,13,13.0,50,49,1.0,0,1,True,0.12658808676569608,0.3817305785273291,0.21233733197728016,0.007567917536122527,-49.54,0.49839743177508444,0.46000000000000085
empty_01,empty,RX01,14,14.0,50,49,1.0,0,1,True,0.10969799249719527,0.3631262952348864,0.1876046156306958,0.008636879948062188,-49.1,0.3,0.8999999999999986
empty_01,empty,RX01,15,15.0,50,49,1.0,0,1,True,0.09550391085602743,0.3814197267353225,0.1745446863017276,0.006614562795042433,-49.48,0.4995998398718719,0.5200000000000031
empty_01,empty,RX01,16,16.0,50,49,1.0,0,1,True,0.09362207624030171,0.3499850954992232,0.1719603716799311,0.005163950331464519,-49.7,0.458257569495584,0.29999999999999716
empty_01,empty,RX01,17,17.0,50,49,1.0,0,1,True,0.093112852705313,0.3688182470250175,0.1898731721813911,0.004548675249645231,-49.42,0.4935585071701226,0.5799999999999983
empty_01,empty,RX01,18,18.0,50,49,1.0,0,1,True,0.09647089326035328,0.37381065391663093,0.18054125014682454,0.003987799572285642,-49.08,0.44,0.9200000000000017
empty_01,empty,RX01,19,19.0,49,48,1.0,0,1,True,0.11230579372475086,0.3727138506978307,0.20917812009776304,0.005177000825063976,-49.12244897959184,0.3278036409022247,0.8775510204081627
empty_01,empty,RX01,20,20.0,49,47,0.9791666666666666,1,2,True,0.09746001709276363,0.378084091662343,0.17595992235786884,0.004043552339990994,-49.95918367346939,0.1978644839761767,0.04081632653061007
empty_01,empty,RX01,21,21.0,49,47,0.9791666666666666,1,2,True,0.11661913566806717,0.3903811441399428,0.19318371679234314,0.004323460308514373,-49.93877551020408,0.5498854524615298,0.06122448979591866
