trial,condition,receiver,time_s,sequence_offset,rssi_dbm
empty_01,empty,RX01,12.647505,632,-49
empty_01,empty,RX01,12.666822,633,-49
empty_01,empty,RX01,12.684519,634,-50
empty_01,empty,RX01,12.704557,635,-50
empty_01,empty,RX01,12.727464,636,-49
empty_01,empty,RX01,12.748249,637,-49
empty_01,empty,RX01,12.76513,638,-50
empty_01,empty,RX01,12.78456,639,-49
empty_01,empty,RX01,12.804538,640,-49
empty_01,empty,RX01,12.824558,641,-50
empty_01,empty,RX01,12.851777,642,-49
empty_01,empty,RX01,12.864745,643,-49
empty_01,empty,RX01,12.888225,644,-49
empty_01,empty,RX01,12.905281,645,-49
empty_01,empty,RX01,12.926829,646,-50
empty_01,empty,RX01,12.946482,647,-50
empty_01,empty,RX01,12.964535,648,-49
empty_01,empty,RX01,12.98679,649,-50
empty_01,empty,RX01,13.006715,650,-50
empty_01,empty,RX01,13.029236,651,-50
empty_01,empty,RX01,13.044536,652,-49
empty_01,empty,RX01,13.065105,653,-50
empty_01,empty,RX01,13.085421,654,-50
empty_01,empty,RX01,13.104533,655,-50
empty_01,empty,RX01,13.124536,656,-50
empty_01,empty,RX01,13.144675,657,-50
empty_01,empty,RX01,13.167753,658,-50
empty_01,empty,RX01,13.18453,659,-50
empty_01,empty,RX01,13.204529,660,-49
empty_01,empty,RX01,13.227292,661,-49
empty_01,empty,RX01,13.249192,662,-50
empty_01,empty,RX01,13.266076,663,-50
empty_01,empty,RX01,13.287618,664,-50
empty_01,empty,RX01,13.304531,665,-50
empty_01,empty,RX01,13.328173,666,-50
empty_01,empty,RX01,13.344515,667,-50
empty_01,empty,RX01,13.365821,668,-49
empty_01,empty,RX01,13.390004,669,-50
empty_01,empty,RX01,13.404496,670,-49
empty_01,empty,RX01,13.42905,671,-50
empty_01,empty,RX01,13.444511,672,-50
empty_01,empty,RX01,13.465054,673,-50
empty_01,empty,RX01,13.48669,674,-50
empty_01,empty,RX01,13.504547,675,-49
empty_01,empty,RX01,13.524509,676,-49
empty_01,empty,RX01,13.546583,677,-50
empty_01,empty,RX01,13.567453,678,-50
empty_01,empty,RX01,13.584517,679,-49
empty_01,empty,RX01,13.607193,680,-49
empty_01,empty,RX01,13.628101,681,-49
empty_01,empty,RX01,13.64494,682,-49
empty_01,empty,RX01,13.669843,683,-49
empty_01,empty,RX01,13.684524,684,-50
empty_01,empty,RX01,13.706339,685,-49
empty_01,empty,RX01,13.724519,686,-49
empty_01,empty,RX01,13.746025,687,-49
empty_01,empty,RX01,13.765518,688,-50
empty_01,empty,RX01,13.784507,689,-50
empty_01,empty,RX01,13.804488,690,-50
empty_01,empty,RX01,13.825917,691,-49
empty_01,empty,RX01,13.848421,692,-49
empty_01,empty,RX01,13.866125,693,-49
empty_01,empty,RX01,13.884504,694,-49
empty_01,empty,RX01,13.906768,695,-49
empty_01,empty,RX01,13.924486,696,-49
empty_01,empty,RX01,13.946716,697,-49
empty_01,empty,RX01,13.966019,698,-49
empty_01,empty,RX01,13.986719,699,-50
empty_01,empty,RX01,14.004607,700,-49
empty_01,empty,RX01,14.024494,701,-49
empty_01,empty,RX01,14.046682,702,-49
empty_01,empty,RX01,14.066292,703,-49
empty_01,empty,RX01,14.084579,704,-49
empty_01,empty,RX01,14.107664,705,-49
empty_01,empty,RX01,14.124487,706,-49
empty_01,empty,RX01,14.144604,707,-50
empty_01,empty,RX01,14.164465,708,-50
empty_01,empty,RX01,14.18602,709,-49
empty_01,empty,RX01,14.209212,710,-49
empty_01,empty,RX01,14.224483,711,-49
empty_01,empty,RX01,14.244482,712,-50
empty_01,empty,RX01,14.271076,713,-49
empty_01,empty,RX01,14.289405,714,-49
empty_01,empty,RX01,14.305949,715,-50
empty_01,empty,RX01,14.32448,716,-49
empty_01,empty,RX01,14.344914,717,-49
empty_01,empty,RX01,14.368942,718,-49
empty_01,empty,RX01,14.387565,719,-49
empty_01,empty,RX01,14.404706,720,-49
empty_01,empty,RX01,14.424505,721,-49
empty_01,empty,RX01,14.447303,722,-49
empty_01,empty,RX01,14.466453,723,-49
empty_01,empty,RX01,14.489053,724,-49
empty_01,empty,RX01,14.508013,725,-49
empty_01,empty,RX01,14.524663,726,-49
empty_01,empty,RX01,14.544489,727,-49
empty_01,empty,RX01,14.565252,728,-49
empty_01,empty,RX01,14.591451,729,-49
empty_01,empty,RX01,14.606657,730,-49
empty_01,empty,RX01,14.629311,731,-49
empty_01,empty,RX01,14.645692,732,-49
empty_01,empty,RX01,14.667664,733,-49
empty_01,empty,RX01,14.686813,734,-49
empty_01,empty,RX01,14.707726,735,-49
empty_01,empty,RX01,14.724457,736,-49
empty_01,empty,RX01,14.744464,737,-49
empty_01,empty,RX01,14.764449,738,-49
empty_01,empty,RX01,14.784466,739,-49
empty_01,empty,RX01,14.805939,740,-49
empty_01,empty,RX01,14.828153,741,-49
empty_01,empty,RX01,14.844452,742,-49
empty_01,empty,RX01,14.86448,743,-49
empty_01,empty,RX01,14.884441,744,-49
empty_01,empty,RX01,14.90478,745,-49
empty_01,empty,RX01,14.926019,746,-49
empty_01,empty,RX01,14.944457,747,-50
empty_01,empty,RX01,14.96445,748,-49
empty_01,empty,RX01,14.984765,749,-49
empty_01,empty,RX01,15.007204,750,-49
empty_01,empty,RX01,15.028405,751,-49
empty_01,empty,RX01,15.044464,752,-50
empty_01,empty,RX01,15.067328,753,-49
empty_01,empty,RX01,15.085206,754,-49
empty_01,empty,RX01,15.105579,755,-49
empty_01,empty,RX01,15.130793,756,-49
empty_01,empty,RX01,15.146712,757,-49
empty_01,empty,RX01,15.166399,758,-49
empty_01,empty,RX01,15.184446,759,-49
empty_01,empty,RX01,15.207965,760,-49
empty_01,empty,RX01,15.233225,761,-49
empty_01,empty,RX01,15.249456,762,-49
empty_01,empty,RX01,15.266797,763,-49
empty_01,empty,RX01,15.286209,764,-49
empty_01,empty,RX01,15.311,765,-49
empty_01,empty,RX01,15.324429,766,-49
empty_01,empty,RX01,15.344461,767,-49
empty_01,empty,RX01,15.366371,768,-49
empty_01,empty,RX01,15.384566,769,-50
empty_01,empty,RX01,15.410673,770,-49
empty_01,empty,RX01,15.426848,771,-50
empty_01,empty,RX01,15.444453,772,-49
empty_01,empty,RX01,15.465032,773,-49
empty_01,empty,RX01,15.486831,774,-50
empty_01,empty,RX01,15.504519,775,-50
empty_01,empty,RX01,15.526427,776,-49
empty_01,empty,RX01,15.544974,777,-50
empty_01,empty,RX01,15.566752,778,-49
empty_01,empty,RX01,15.589248,779,-50
empty_01,empty,RX01,15.604443,780,-49
empty_01,empty,RX01,15.625148,781,-49
empty_01,empty,RX01,15.644441,782,-50
empty_01,empty,RX01,15.66445,783,-50
empty_01,empty,RX01,15.684417,784,-50
empty_01,empty,RX01,15.704436,785,-50
empty_01,empty,RX01,15.724454,786,-50
empty_01,empty,RX01,15.745727,787,-50
empty_01,empty,RX01,15.76444,788,-50
empty_01,empty,RX01,15.784823,789,-50
empty_01,empty,RX01,15.808799,790,-50
empty_01,empty,RX01,15.826719,791,-50
empty_01,empty,RX01,15.847608,792,-50
empty_01,empty,RX01,15.864437,793,-50
empty_01,empty,RX01,15.884461,794,-50
empty_01,empty,RX01,15.906574,795,-49
empty_01,empty,RX01,15.924423,796,-50
empty_01,empty,RX01,15.944441,797,-50
empty_01,empty,RX01,15.9644,798,-50
empty_01,empty,RX01,15.984716,799,-50
empty_01,empty,RX01,16.004412,800,-50
empty_01,empty,RX01,16.027274,801,-50
empty_01,empty,RX01,16.046244,802,-49
empty_01,empty,RX01,16.06579,803,-50
empty_01,empty,RX01,16.085731,804,-50
empty_01,empty,RX01,16.104436,805,-50
empty_01,empty,RX01,16.12917,806,-49
empty_01,empty,RX01,16.145312,807,-49
empty_01,empty,RX01,16.164411,808,-49
empty_01,empty,RX01,16.188108,809,-49
empty_01,empty,RX01,16.204859,810,-50
empty_01,empty,RX01,16.224427,811,-50
empty_01,empty,RX01,16.246136,812,-50
empty_01,empty,RX01,16.264543,813,-50
empty_01,empty,RX01,16.284401,814,-49
empty_01,empty,RX01,16.306054,815,-50
empty_01,empty,RX01,16.324558,816,-50
empty_01,empty,RX01,16.346067,817,-49
empty_01,empty,RX01,16.365972,818,-50
empty_01,empty,RX01,16.385972,819,-49
empty_01,empty,RX01,16.404411,820,-50
empty_01,empty,RX01,16.427642,821,-50
empty_01,empty,RX01,16.444403,822,-49
empty_01,empty,RX01,16.466583,823,-50
empty_01,empty,RX01,16.484398,824,-49
empty_01,empty,RX01,16.504767,825,-50
empty_01,empty,RX01,16.526109,826,-50
empty_01,empty,RX01,16.546873,827,-50
empty_01,empty,RX01,16.564502,828,-50
empty_01,empty,RX01,16.584401,829,-50
empty_01,empty,RX01,16.607477,830,-50
empty_01,empty,RX01,16.626318,831,-50
empty_01,empty,RX01,16.649133,832,-50
empty_01,empty,RX01,16.66681,833,-50
empty_01,empty,RX01,16.684403,834,-50
empty_01,empty,RX01,16.704405,835,-50
empty_01,empty,RX01,16.727511,836,-50
empty_01,empty,RX01,16.747121,837,-50
empty_01,empty,RX01,16.769203,838,-49
empty_01,empty,RX01,16.784407,839,-50
empty_01,empty,RX01,16.804962,840,-50
empty_01,empty,RX01,16.824457,841,-50
empty_01,empty,RX01,16.844385,842,-50
empty_01,empty,RX01,16.871616,843,-49
empty_01,empty,RX01,16.8853,844,-49
empty_01,empty,RX01,16.90494,845,-50
empty_01,empty,RX01,16.924403,846,-50
empty_01,empty,RX01,16.945528,847,-49
empty_01,empty,RX01,16.966669,848,-50
empty_01,empty,RX01,16.984392,849,-49
empty_01,empty,RX01,17.004523,850,-49
empty_01,empty,RX01,17.026099,851,-50
empty_01,empty,RX01,17.048051,852,-50
empty_01,empty,RX01,17.066143,853,-49
empty_01,empty,RX01,17.088766,854,-49
empty_01,empty,RX01,17.104386,855,-49
empty_01,empty,RX01,17.12761,856,-50
empty_01,empty,RX01,17.144396,857,-49
empty_01,empty,RX01,17.164364,858,-50
empty_01,empty,RX01,17.187998,859,-49
empty_01,empty,RX01,17.205209,860,-49
empty_01,empty,RX01,17.230025,861,-49
empty_01,empty,RX01,17.244376,862,-49
empty_01,empty,RX01,17.264995,863,-49
empty_01,empty,RX01,17.288481,864,-49
empty_01,empty,RX01,17.304374,865,-50
empty_01,empty,RX01,17.324424,866,-50
empty_01,empty,RX01,17.347375,867,-50
empty_01,empty,RX01,17.365956,868,-49
empty_01,empty,RX01,17.386466,869,-50
empty_01,empty,RX01,17.404384,870,-50
empty_01,empty,RX01,17.42606,871,-49
empty_01,empty,RX01,17.445546,872,-50
empty_01,empty,RX01,17.464366,873,-49
empty_01,empty,RX01,17.486011,874,-50
empty_01,empty,RX01,17.504401,875,-49
empty_01,empty,RX01,17.524364,876,-50
